source           ,1..3,782,950        ,3,782,950,==,source    
dnaA             ,1..1416             ,1416     ,=>,gene      
dnaA             ,1..1416             ,1416     ,=>,CDS       
dnaN             ,1649..2755          ,1107     ,=>,gene      
dnaN             ,1649..2755          ,1107     ,=>,CDS       
recF             ,2755..3879          ,1125     ,=>,gene      
recF             ,2755..3879          ,1125     ,=>,CDS       
gyrB             ,3966..6386          ,2421     ,=>,gene      
gyrB             ,3966..6386          ,2421     ,=>,CDS       
gyrA             ,6410..8893          ,2484     ,=>,gene      
gyrA             ,6410..8893          ,2484     ,=>,CDS       
BD_RS00030       ,8895..9692          ,798      ,=>,gene      
BD_RS00030       ,8895..9692          ,798      ,=>,CDS       
BD_RS00035       ,9692..9928          ,237      ,=>,gene      
BD_RS00035       ,9692..9928          ,237      ,=>,CDS       
BD_RS00040       ,9925..10,281        ,357      ,=>,gene      
BD_RS00040       ,9925..10,281        ,357      ,=>,CDS       
atpB             ,10,271..10,960      ,690      ,=>,gene      
atpB             ,10,271..10,960      ,690      ,=>,CDS       
BD_RS00050       ,10,993..11,310      ,318      ,=>,gene      
BD_RS00050       ,10,993..11,310      ,318      ,=>,CDS       
BD_RS00055       ,11,409..12,329      ,921      ,<=,gene      
BD_RS00055       ,11,409..12,329      ,921      ,<=,CDS       
BD_RS00060       ,12,474..12,962      ,489      ,=>,gene      
BD_RS00060       ,12,474..12,962      ,489      ,=>,CDS       
BD_RS00065       ,13,006..13,983      ,978      ,=>,gene      
BD_RS00065       ,13,006..13,983      ,978      ,=>,CDS       
BD_RS00070       ,14,017..15,384      ,1368     ,<=,gene      
BD_RS00070       ,14,017..15,384      ,1368     ,<=,CDS       
BD_RS00075       ,15,432..16,346      ,915      ,<=,gene      
BD_RS00075       ,15,432..16,346      ,915      ,<=,CDS       
BD_RS00080       ,16,375..17,265      ,891      ,<=,gene      
BD_RS00080       ,16,375..17,265      ,891      ,<=,CDS       
BD_RS00085       ,17,312..18,280      ,969      ,<=,gene      
BD_RS00085       ,17,312..18,280      ,969      ,<=,CDS       
BD_RS00090       ,18,293..19,102      ,810      ,<=,gene      
BD_RS00090       ,18,293..19,102      ,810      ,<=,CDS       
BD_RS00095       ,19,150..19,686      ,537      ,<=,gene      
BD_RS00095       ,19,150..19,686      ,537      ,<=,CDS       
BD_RS00100       ,19,818..20,786      ,969      ,<=,gene      
BD_RS00100       ,19,818..20,786      ,969      ,<=,CDS       
BD_RS00105       ,20,797..21,570      ,774      ,<=,gene      
BD_RS00105       ,20,797..21,570      ,774      ,<=,CDS       
BD_RS00110       ,21,751..22,410      ,660      ,=>,gene      
BD_RS00110       ,21,751..22,410      ,660      ,=>,CDS       
BD_RS00115       ,22,422..24,338      ,1917     ,=>,gene      
BD_RS00115       ,22,422..24,338      ,1917     ,=>,CDS       
BD_RS00120       ,24,349..25,137      ,789      ,=>,gene      
BD_RS00120       ,24,349..25,137      ,789      ,=>,CDS       
BD_RS00125       ,25,438..25,689      ,252      ,=>,gene      
BD_RS00125       ,25,438..25,689      ,252      ,=>,CDS       
BD_RS00130       ,25,900..27,543      ,1644     ,=>,gene      
BD_RS00130       ,25,900..27,543      ,1644     ,=>,CDS       
BD_RS00135       ,27,613..28,497      ,885      ,<=,gene      
BD_RS00135       ,27,613..28,497      ,885      ,<=,CDS       
BD_RS00140       ,28,509..29,177      ,669      ,<=,gene      
BD_RS00140       ,28,509..29,177      ,669      ,<=,CDS       
rpsF             ,29,347..29,805      ,459      ,=>,gene      
rpsF             ,29,347..29,805      ,459      ,=>,CDS       
BD_RS00150       ,29,825..30,715      ,891      ,=>,gene      
BD_RS00150       ,29,825..30,715      ,891      ,=>,CDS       
BD_RS00155       ,30,732..31,175      ,444      ,=>,gene      
BD_RS00155       ,30,732..31,175      ,444      ,=>,CDS       
BD_RS00160       ,31,374..32,222      ,849      ,=>,gene      
BD_RS00160       ,31,374..32,222      ,849      ,=>,CDS       
BD_RS00165       ,32,299..32,502      ,204      ,<=,gene      
BD_RS00165       ,32,299..32,502      ,204      ,<=,CDS       
BD_RS00170       ,32,617..33,543      ,927      ,<=,gene      
BD_RS00170       ,32,617..33,543      ,927      ,<=,CDS       
dnaB             ,33,558..34,973      ,1416     ,<=,gene      
dnaB             ,33,558..34,973      ,1416     ,<=,CDS       
BD_RS00180       ,35,076..35,315      ,240      ,<=,gene      
BD_RS00180       ,35,076..35,315      ,240      ,<=,CDS       
BD_RS00185       ,35,411..36,049      ,639      ,<=,gene      
BD_RS00185       ,35,411..36,049      ,639      ,<=,CDS       
BD_RS00190       ,36,142..38,535      ,2394     ,=>,gene      
BD_RS00190       ,36,142..38,535      ,2394     ,=>,CDS       
BD_RS00195       ,38,701..39,180      ,480      ,=>,gene      
BD_RS00195       ,38,701..39,180      ,480      ,=>,CDS       
BD_RS00200       ,39,190..40,050      ,861      ,=>,gene      
BD_RS00200       ,39,190..40,050      ,861      ,=>,CDS       
BD_RS00205       ,40,034..40,249      ,216      ,=>,gene      
BD_RS00205       ,40,034..40,249      ,216      ,=>,CDS       
BD_RS00210       ,40,246..41,103      ,858      ,=>,gene      
BD_RS00210       ,40,246..41,103      ,858      ,=>,CDS       
BD_RS00215       ,41,100..41,981      ,882      ,=>,gene      
BD_RS00215       ,41,100..41,981      ,882      ,=>,CDS       
BD_RS00220       ,41,978..42,667      ,690      ,=>,gene      
BD_RS00220       ,41,978..42,667      ,690      ,=>,CDS       
BD_RS00225       ,42,664..43,173      ,510      ,=>,gene      
BD_RS00225       ,42,664..43,173      ,510      ,=>,CDS       
fsa              ,43,235..43,882      ,648      ,=>,gene      
fsa              ,43,235..43,882      ,648      ,=>,CDS       
BD_RS00235       ,43,882..44,325      ,444      ,=>,gene      
BD_RS00235       ,43,882..44,325      ,444      ,=>,CDS       
BD_RS00240       ,44,459..46,489      ,2031     ,=>,gene      
BD_RS00240       ,44,459..46,489      ,2031     ,=>,CDS       
murD             ,46,473..47,789      ,1317     ,<=,gene      
murD             ,46,473..47,789      ,1317     ,<=,CDS       
BD_RS00250       ,47,846..49,267      ,1422     ,=>,gene      
BD_RS00250       ,47,846..49,267      ,1422     ,=>,CDS       
BD_RS00255       ,49,361..49,555      ,195      ,=>,gene      
