# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	cds	88	756	-	DLEPHM_00001	lmbE	PIG-L deacetylase family protein	COG:COG2120, COG:G, RefSeq:WP_041583517.1, SO:0001217, UniParc:UPI0005A237B8, UniRef:UniRef100_UPI0005A237B8, UniRef:UniRef50_A0A0S2TBY6, UniRef:UniRef90_UPI0005A237B8
contig_2	cds	756	1643	-	DLEPHM_00002	fmt	Putative formyltransferase	COG:COG0223, COG:J, RefSeq:WP_011164154.1, SO:0001217, UniParc:UPI0000224D34, UniRef:UniRef100_Q6MMF2, UniRef:UniRef50_Q5KV76, UniRef:UniRef90_Q6MMF2
contig_2	cds	1640	2812	-	DLEPHM_00003	neuC	UDP-N-acetylglucosamine 2-epimerase	COG:COG0381, COG:M, EC:3.2.1.183, GO:0006047, GO:0008761, RefSeq:WP_011164153.1, SO:0001217, UniParc:UPI0000224D33, UniRef:UniRef100_Q6MMF3, UniRef:UniRef50_J5WIH8, UniRef:UniRef90_Q6MMF3
contig_2	cds	2850	3998	-	DLEPHM_00004	wecE	Putative aminotransferase	COG:COG0399, COG:M, RefSeq:WP_011164152.1, SO:0001217, UniParc:UPI0000224D32, UniRef:UniRef100_Q6MMF4, UniRef:UniRef50_A0A7W0BZN3, UniRef:UniRef90_Q6MMF4
contig_2	cds	3991	4974	-	DLEPHM_00005	wcaG	putative UDP-glucose 4-epimerase	COG:COG0451, COG:M, RefSeq:WP_011164151.1, SO:0001217, UniParc:UPI0000224D31, UniRef:UniRef100_Q6MMF5, UniRef:UniRef50_A0A1V5DRA6, UniRef:UniRef90_Q6MMF5
contig_2	cds	5134	5919	-	DLEPHM_00006		6-hydroxymethylpterin diphosphokinase MptE-like domain-containing protein	RefSeq:WP_011164150.1, SO:0001217, UniParc:UPI0000224D30, UniRef:UniRef100_Q6MMF6, UniRef:UniRef50_Q6MMF6, UniRef:UniRef90_Q6MMF6
contig_2	cds	5912	6532	-	DLEPHM_00007		Glycosyl transferase family 1	SO:0001217, UniRef:UniRef50_A0A2D7SQF3
contig_2	cds	6722	8392	-	DLEPHM_00008	mdoB	Putative phosphoglycerol transferase	COG:COG1368, COG:M, SO:0001217, UniParc:UPI0000224D2F, UniRef:UniRef100_Q6MMF7, UniRef:UniRef50_Q6MMF7, UniRef:UniRef90_Q6MMF7
contig_2	cds	8496	9755	+	DLEPHM_00009	rfaL	Putative O-antigen ligase WaaL	COG:COG3307, COG:M, RefSeq:WP_011164148.1, SO:0001217, UniParc:UPI0000224D2E, UniRef:UniRef100_Q6MMF8, UniRef:UniRef50_Q6MMF8, UniRef:UniRef90_Q6MMF8
contig_2	cds	9718	11391	-	DLEPHM_00010	mdoB	Putative cyclic beta-1,2-glucan modification protein	COG:COG1368, COG:M, SO:0001217, UniParc:UPI0000224D2D, UniRef:UniRef100_Q6MMF9, UniRef:UniRef50_Q6MMF7, UniRef:UniRef90_Q6MMF9
contig_2	cds	11401	12228	-	DLEPHM_00011		Putative N-acetylglucosaminyltransferase	EC:2.4.1.144, KEGG:K00737, RefSeq:WP_011164146.1, SO:0001217, UniParc:UPI0000224D2C, UniRef:UniRef100_Q6MMG0, UniRef:UniRef50_Q6MMG0, UniRef:UniRef90_Q6MMG0
