#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	23775	24515	-	DLEPHM_00019	27.8	7.8		RefSeq:WP_011164138.1, SO:0001217, UniParc:UPI0000224D24, UniRef:UniRef100_Q6MMG8, UniRef:UniRef50_Q6MMG8, UniRef:UniRef90_Q6MMG8
contig_2	39291	39755	+	DLEPHM_00035	17.2	9.5		RefSeq:WP_050792908.1, SO:0001217, UniParc:UPI0002FAEE7F, UniRef:UniRef100_Q6MMI4, UniRef:UniRef50_K7Z9T0, UniRef:UniRef90_K7Z9T0
contig_2	40627	40749	+	DLEPHM_00037	3.9	11.3		RefSeq:WP_011164120.1, SO:0001217, UniParc:UPI0000224D12, UniRef:UniRef100_Q6MMI6, UniRef:UniRef50_Q6MMI6, UniRef:UniRef90_Q6MMI6
contig_2	49940	50353	+	DLEPHM_00046	15.6	7.0		RefSeq:WP_011164111.1, SO:0001217, UniParc:UPI0000224D09, UniRef:UniRef100_Q6MMJ5, UniRef:UniRef50_Q6MMJ5, UniRef:UniRef90_Q6MMJ5
contig_2	73871	74437	-	DLEPHM_00064	20.6	4.7		RefSeq:WP_011164093.1, SO:0001217, UniParc:UPI0000224CF7, UniRef:UniRef100_Q6MML3, UniRef:UniRef50_Q6MML3, UniRef:UniRef90_Q6MML3
contig_2	74569	74865	-	DLEPHM_00065	11.2	10.9		
contig_2	88247	89767	+	DLEPHM_00077	56.2	9.1		SO:0001217, UniParc:UPI0000224CEA, UniRef:UniRef100_Q6MMM6, UniRef:UniRef50_Q6MMM6, UniRef:UniRef90_Q6MMM6
contig_2	97327	98391	-	DLEPHM_00084	39.4	6.8		RefSeq:WP_231839312.1, SO:0001217, UniParc:UPI001E3E98EC, UniRef:UniRef100_Q6MMN3, UniRef:UniRef50_Q6MMN3, UniRef:UniRef90_Q6MMN3
contig_2	102508	103743	-	DLEPHM_00090	44.4	8.8		RefSeq:WP_011164066.1, SO:0001217, UniParc:UPI0000224CDC, UniRef:UniRef100_Q6MMP0, UniRef:UniRef50_K7Z9M7, UniRef:UniRef90_Q6MMP0
contig_2	109716	110216	+	DLEPHM_00097	18.1	4.8		RefSeq:WP_011164059.1, SO:0001217, UniParc:UPI0000224CD5, UniRef:UniRef100_Q6MMP7, UniRef:UniRef50_K7ZF84, UniRef:UniRef90_K7ZF84
contig_2	132512	132952	-	DLEPHM_00115	16.7	10.1		RefSeq:WP_011164041.1, SO:0001217, UniParc:UPI0000224CC2, UniRef:UniRef100_Q6MMR5, UniRef:UniRef50_Q6MMR5, UniRef:UniRef90_Q6MMR5
contig_2	179057	179401	-	DLEPHM_00157	12.6	4.9		RefSeq:WP_011163999.1, SO:0001217, UniParc:UPI0000224C99, UniRef:UniRef100_Q6MMV6, UniRef:UniRef50_K7YU81, UniRef:UniRef90_Q6MMV6
contig_2	181985	182380	+	DLEPHM_00159	14.6	5.2		RefSeq:WP_011163997.1, SO:0001217, UniParc:UPI0000224C97, UniRef:UniRef100_Q6MMV8, UniRef:UniRef50_K7YWU7, UniRef:UniRef90_K7YWU7
contig_2	222424	222672	+	DLEPHM_00193	9.3	10.0		RefSeq:WP_011163963.1, SO:0001217, UniParc:UPI0000224C75, UniRef:UniRef100_Q6MMZ2, UniRef:UniRef50_Q6MMZ2, UniRef:UniRef90_Q6MMZ2
contig_2	227104	227757	+	DLEPHM_00197	24.8	9.1		RefSeq:WP_011163959.1, SO:0001217, UniParc:UPI0000224C71, UniRef:UniRef100_Q6MMZ6, UniRef:UniRef50_A0A514X1Q8, UniRef:UniRef90_A0A1Z3N9J8
contig_2	255059	257890	+	DLEPHM_00220	106.4	6.0		RefSeq:WP_011163937.1, SO:0001217, UniParc:UPI0000224C5B, UniRef:UniRef100_Q6MN17, UniRef:UniRef50_K7Z9B2, UniRef:UniRef90_Q6MN17
contig_2	264349	264558	+	DLEPHM_00226	8.2	5.2		RefSeq:WP_038448790.1, SO:0001217, UniParc:UPI0003072EC6, UniRef:UniRef100_Q6MN24, UniRef:UniRef50_Q6MN24, UniRef:UniRef90_Q6MN24
contig_2	280936	281205	-	DLEPHM_00246	9.8	5.6		RefSeq:WP_038448761.1, SO:0001217, UniParc:UPI00045BE824, UniRef:UniRef100_UPI00045BE824, UniRef:UniRef50_A0A150WU34, UniRef:UniRef90_A0A1Z3N9M6
contig_2	290386	290667	-	DLEPHM_00255	10.9	5.3		RefSeq:WP_011163899.1, SO:0001217, UniParc:UPI0000224C35, UniRef:UniRef100_Q6MN55, UniRef:UniRef50_Q6MN55, UniRef:UniRef90_Q6MN55
contig_2	291144	291590	-	DLEPHM_00257	16.1	8.6		RefSeq:WP_011163897.1, SO:0001217, UniParc:UPI0000224C33, UniRef:UniRef100_Q6MN57, UniRef:UniRef50_K7Z983, UniRef:UniRef90_Q6MN57
contig_2	305912	306535	+	DLEPHM_00272	22.8	4.7		RefSeq:WP_011163881.1, SO:0001217, UniParc:UPI0000224C23, UniRef:UniRef100_Q6MN73, UniRef:UniRef50_K7YWH6, UniRef:UniRef90_Q6MN73
contig_2	321085	321321	+	DLEPHM_00285	9.0	5.3		RefSeq:WP_011163867.1, SO:0001217, UniParc:UPI0000224C15, UniRef:UniRef100_Q6MN87, UniRef:UniRef50_K7YMN0, UniRef:UniRef90_Q6MN87
contig_2	325739	325903	+	DLEPHM_00289	5.8	6.0		
contig_2	332889	333491	+	DLEPHM_00298	21.3	5.4		RefSeq:WP_011163855.1, SO:0001217, UniParc:UPI0000224C09, UniRef:UniRef100_Q6MN99, UniRef:UniRef50_Q6MN99, UniRef:UniRef90_Q6MN99
contig_2	337683	337991	+	DLEPHM_00302	11.1	6.7		RefSeq:WP_011163851.1, SO:0001217, UniParc:UPI0000224C05, UniRef:UniRef100_Q6MNA3, UniRef:UniRef50_Q6MNA3, UniRef:UniRef90_Q6MNA3
contig_2	342233	342370	-	DLEPHM_00307	5.1	6.0		SO:0001217, UniRef:UniRef50_K7YML4
contig_2	343114	343629	-	DLEPHM_00309	18.9	9.2		RefSeq:WP_011163845.1, SO:0001217, UniParc:UPI0000224BFF, UniRef:UniRef100_Q6MNA9, UniRef:UniRef50_Q6MNA9, UniRef:UniRef90_Q6MNA9
contig_2	364287	364547	+	DLEPHM_00328	9.7	5.0		RefSeq:WP_011163826.1, SO:0001217, UniParc:UPI0000224BEC, UniRef:UniRef100_Q6MNC8, UniRef:UniRef50_Q6MNC8, UniRef:UniRef90_Q6MNC8
contig_2	364653	365147	+	DLEPHM_00329	17.6	7.6		RefSeq:WP_011163825.1, SO:0001217, UniParc:UPI0000224BEB, UniRef:UniRef100_Q6MNC9, UniRef:UniRef50_Q6MNC9, UniRef:UniRef90_Q6MNC9
contig_2	365481	366089	-	DLEPHM_00331	22.6	5.4		RefSeq:WP_011163823.1, SO:0001217, UniParc:UPI0000224BE9, UniRef:UniRef100_Q6MND1, UniRef:UniRef50_Q6MND1, UniRef:UniRef90_Q6MND1
contig_2	367471	367881	+	DLEPHM_00334	15.6	8.0		RefSeq:WP_011163820.1, SO:0001217, UniParc:UPI0000224BE6, UniRef:UniRef100_Q6MND4, UniRef:UniRef50_K7Z934, UniRef:UniRef90_K7Z934
contig_2	378668	381067	-	DLEPHM_00346	88.5	8.8		SO:0001217, UniRef:UniRef50_A0A161PQD7, UniRef:UniRef90_Q6MNE6
contig_2	405261	405833	+	DLEPHM_00371	21.4	7.7		RefSeq:WP_038451230.1, SO:0001217, UniParc:UPI000305A2FA, UniRef:UniRef100_Q6MNH3, UniRef:UniRef50_K7ZEZ0, UniRef:UniRef90_K7ZEZ0
contig_2	405899	406468	+	DLEPHM_00372	20.4	8.9		RefSeq:WP_041583494.1, SO:0001217, UniParc:UPI00030710C7, UniRef:UniRef100_Q6MNH4, UniRef:UniRef50_Q6MNH4, UniRef:UniRef90_Q6MNH4
contig_2	413742	414182	+	DLEPHM_00379	15.6	6.6		RefSeq:WP_011163772.1, SO:0001217, UniParc:UPI0000224BB6, UniRef:UniRef100_Q6MNI1, UniRef:UniRef50_Q6MNI1, UniRef:UniRef90_Q6MNI1
contig_2	416351	416668	+	DLEPHM_00382	12.3	5.6		RefSeq:WP_011163769.1, SO:0001217, UniParc:UPI0000224BB3, UniRef:UniRef100_Q6MNI4, UniRef:UniRef50_Q6MNI4, UniRef:UniRef90_Q6MNI4
contig_2	416891	417202	+	DLEPHM_00383	11.9	6.7		RefSeq:WP_041583704.1, SO:0001217, UniParc:UPI000303E21B, UniRef:UniRef100_UPI000303E21B, UniRef:UniRef50_A0A150WUE1, UniRef:UniRef90_UPI000B04621F
contig_2	433531	433986	+	DLEPHM_00399	16.9	5.5		RefSeq:WP_011163751.1, SO:0001217, UniParc:UPI0000224BA1, UniRef:UniRef100_Q6MNK2, UniRef:UniRef50_K7YTJ7, UniRef:UniRef90_Q6MNK2
contig_2	439665	439832	+	DLEPHM_00402	6.8	9.8		
contig_2	466585	466938	+	DLEPHM_00428	13.2	6.8		RefSeq:WP_011163723.1, SO:0001217, UniParc:UPI0000224B85, UniRef:UniRef100_Q6MNN0, UniRef:UniRef50_Q6MNN0, UniRef:UniRef90_Q6MNN0
contig_2	479786	480199	-	DLEPHM_00443	16.1	9.1		SO:0001217, UniRef:UniRef50_K7YM66, UniRef:UniRef90_K7YM66
contig_2	493597	494610	-	DLEPHM_00456	37.5	6.2		RefSeq:WP_231839292.1, SO:0001217, UniParc:UPI0002D545F4, UniRef:UniRef100_Q6MNQ7, UniRef:UniRef50_K7YM53, UniRef:UniRef90_Q6MNQ7
contig_2	503429	503869	-	DLEPHM_00463	15.7	4.8		RefSeq:WP_011163689.1, SO:0001217, UniParc:UPI0000224B63, UniRef:UniRef100_Q6MNR4, UniRef:UniRef50_Q6MNR4, UniRef:UniRef90_Q6MNR4
contig_2	514545	515246	-	DLEPHM_00474	25.6	4.9		SO:0001217, UniParc:UPI0000224B57, UniRef:UniRef100_Q6MNS6, UniRef:UniRef50_K7YVX4, UniRef:UniRef90_K7YVX4
contig_2	515252	516937	-	DLEPHM_00475	59.5	9.2		RefSeq:WP_011163676.1, SO:0001217, UniParc:UPI0000224B56, UniRef:UniRef100_Q6MNS7, UniRef:UniRef50_Q6MNS7, UniRef:UniRef90_Q6MNS7
contig_2	526965	527084	+	DLEPHM_00483	4.4	9.3		
contig_2	530605	531108	+	DLEPHM_00486	18.3	4.9		RefSeq:WP_011163665.1, SO:0001217, UniParc:UPI0000224B4B, UniRef:UniRef100_Q6MNT8, UniRef:UniRef50_K7Z8Q2, UniRef:UniRef90_Q6MNT8
contig_2	538475	538915	+	DLEPHM_00492	16.5	5.8		RefSeq:WP_231839287.1, SO:0001217, UniParc:UPI0002DF9A51, UniRef:UniRef100_Q6MNU4, UniRef:UniRef50_Q6MNU4, UniRef:UniRef90_Q6MNU4
contig_2	552286	554067	+	DLEPHM_00499	68.0	9.1		RefSeq:WP_231839285.1, SO:0001217, UniParc:UPI001E621F62, UniRef:UniRef100_Q6MNV1, UniRef:UniRef50_K7YLU3, UniRef:UniRef90_Q6MNV1
contig_2	554064	554384	-	DLEPHM_00500	11.3	4.6		RefSeq:WP_011163651.1, SO:0001217, UniParc:UPI0000224B3D, UniRef:UniRef100_Q6MNV2, UniRef:UniRef50_K7YVP1, UniRef:UniRef90_Q6MNV2
contig_2	570487	570702	-	DLEPHM_00513	7.8	9.2		RefSeq:WP_011163638.1, SO:0001217, UniParc:UPI0000224B30, UniRef:UniRef100_Q6MNW5, UniRef:UniRef50_Q6MNW5, UniRef:UniRef90_Q6MNW5
contig_2	571016	571300	+	DLEPHM_00514	10.4	6.6		RefSeq:WP_011163637.1, SO:0001217, UniParc:UPI0000224B2F, UniRef:UniRef100_Q6MNW6, UniRef:UniRef50_Q6MNW6, UniRef:UniRef90_Q6MNW6
contig_2	577645	578262	-	DLEPHM_00521	22.6	5.9		RefSeq:WP_011163630.1, SO:0001217, UniParc:UPI0000224B28, UniRef:UniRef100_Q6MNX2, UniRef:UniRef50_K7YVM0, UniRef:UniRef90_K7YVM0
contig_2	588188	588577	-	DLEPHM_00534	14.5	8.7		RefSeq:WP_011163617.1, SO:0001217, UniParc:UPI0000224B1B, UniRef:UniRef100_Q6MNY4, UniRef:UniRef50_Q6MNY4, UniRef:UniRef90_Q6MNY4
contig_2	588577	589569	-	DLEPHM_00535	37.1	8.5		RefSeq:WP_011163616.1, SO:0001217, UniParc:UPI0000224B1A, UniRef:UniRef100_Q6MNY5, UniRef:UniRef50_K7Z8G2, UniRef:UniRef90_K7Z8G2
contig_2	589650	590081	-	DLEPHM_00536	15.8	5.9		RefSeq:WP_157865651.1, SO:0001217, UniParc:UPI0002ED330E, UniRef:UniRef100_Q6MNY6, UniRef:UniRef50_K7YSW1, UniRef:UniRef90_K7YSW1
contig_2	590200	590721	+	DLEPHM_00537	20.2	8.0		SO:0001217, UniRef:UniRef50_A0A162G2D2, UniRef:UniRef90_Q6MNY7
contig_2	590729	591097	-	DLEPHM_00538	14.5	5.2		RefSeq:WP_011163613.1, SO:0001217, UniParc:UPI0000224B17, UniRef:UniRef100_Q6MNY8, UniRef:UniRef50_A0A952TTK7, UniRef:UniRef90_Q6MNY8
contig_2	602630	603013	-	DLEPHM_00549	14.7	9.3		RefSeq:WP_011163602.1, SO:0001217, UniParc:UPI0000224B0C, UniRef:UniRef100_Q6MNZ9, UniRef:UniRef50_K7YSU9, UniRef:UniRef90_Q6MNZ9
contig_2	603155	603340	-	DLEPHM_00550	7.1	5.5		RefSeq:WP_011163601.1, SO:0001217, UniParc:UPI0000224B0B, UniRef:UniRef100_Q6MP00, UniRef:UniRef50_Q6MP00, UniRef:UniRef90_Q6MP00
contig_2	604771	605178	-	DLEPHM_00553	15.1	5.0		RefSeq:WP_011163598.1, SO:0001217, UniParc:UPI0000224B08, UniRef:UniRef100_Q6MP03, UniRef:UniRef50_Q6MP03, UniRef:UniRef90_Q6MP03
contig_2	618730	618981	-	DLEPHM_00566	9.5	5.4		SO:0001217, UniRef:UniRef50_UPI0035B52A1C
contig_2	635046	636209	-	DLEPHM_00581	42.3	9.4		RefSeq:WP_038451015.1, SO:0001217, UniParc:UPI0002DA3C3F, UniRef:UniRef100_Q6MP29, UniRef:UniRef50_K7ZEN5, UniRef:UniRef90_K7ZEN5
contig_2	676607	676894	+	DLEPHM_00619	10.9	7.6		RefSeq:WP_011163533.1, SO:0001217, UniParc:UPI0000224AC7, UniRef:UniRef100_Q6MP67, UniRef:UniRef50_K7YSN2, UniRef:UniRef90_K7YSN2
contig_2	683577	684158	+	DLEPHM_00625	21.1	5.3		RefSeq:WP_011163527.1, SO:0001217, UniParc:UPI0000224AC1, UniRef:UniRef100_Q6MP73, UniRef:UniRef50_K7YLI8, UniRef:UniRef90_K7YLI8
contig_2	706582	707355	-	DLEPHM_00646	29.7	6.2		SO:0001217, UniRef:UniRef50_A0A2H0WCF6, UniRef:UniRef90_Q6MP95
contig_2	713087	713968	-	DLEPHM_00651	32.6	8.7	PF13428.12|TPR_14, PF14559.12|TPR_19	PFAM:PF13428.12, PFAM:PF14559.12
contig_2	714145	716889	-	DLEPHM_00652	102.0	8.3	PF00595.29|PDZ, PF01353.27|GFP, PF17804.6|TSP_NTD, PF17820.7|PDZ_6	PFAM:PF00595.29, PFAM:PF01353.27, PFAM:PF17804.6, PFAM:PF17820.7
contig_2	717009	717908	-	DLEPHM_00653	34.5	6.2		RefSeq:WP_011163505.1, SO:0001217, UniParc:UPI0000224AAB, UniRef:UniRef100_Q6MP95, UniRef:UniRef50_A0A2H0WCF6, UniRef:UniRef90_Q6MP95
contig_2	727423	728784	+	DLEPHM_00661	50.4	9.0		RefSeq:WP_011163497.1, SO:0001217, UniParc:UPI0000224AA3, UniRef:UniRef100_Q6MPA3, UniRef:UniRef50_K7Z872, UniRef:UniRef90_K7Z872
contig_2	731672	732289	-	DLEPHM_00665	22.0	10.1		RefSeq:WP_011163493.1, SO:0001217, UniParc:UPI0000224A9F, UniRef:UniRef100_Q6MPA7, UniRef:UniRef50_A0A150WEP8, UniRef:UniRef90_Q6MPA7
contig_2	737694	737951	-	DLEPHM_00672	9.5	5.0		RefSeq:WP_011163486.1, SO:0001217, UniParc:UPI0000224A98, UniRef:UniRef100_Q6MPB4, UniRef:UniRef50_A0A514WUY5, UniRef:UniRef90_Q6MPB4
contig_2	738933	739286	-	DLEPHM_00674	13.1	8.4		RefSeq:WP_011163484.1, SO:0001217, UniParc:UPI0000224A96, UniRef:UniRef100_Q6MPB6, UniRef:UniRef50_K7YLE7, UniRef:UniRef90_K7YLE7
contig_2	741121	741327	+	DLEPHM_00679	8.1	9.0		RefSeq:WP_011163480.1, SO:0001217, UniParc:UPI0000224A92, UniRef:UniRef100_Q6MPC0, UniRef:UniRef50_K7ZEL0, UniRef:UniRef90_K7ZEL0
contig_2	741324	741986	-	DLEPHM_00680	24.7	5.7		RefSeq:WP_011163479.1, SO:0001217, UniParc:UPI0000224A91, UniRef:UniRef100_Q6MPC1, UniRef:UniRef50_Q6MPC1, UniRef:UniRef90_Q6MPC1
contig_2	742274	742465	+	DLEPHM_00682	7.0	4.2		RefSeq:WP_048349704.1, SO:0001217, UniParc:UPI00031848F9, UniRef:UniRef100_Q6MPC2, UniRef:UniRef50_K7YV72, UniRef:UniRef90_Q6MPC2
contig_2	763511	766015	+	DLEPHM_00702	92.5	7.0		RefSeq:WP_041583468.1, SO:0001217, UniParc:UPI0005A15508, UniRef:UniRef100_Q6MPE2, UniRef:UniRef50_Q6MPE2, UniRef:UniRef90_Q6MPE2
contig_2	774008	774295	+	DLEPHM_00713	10.5	5.7		SO:0001217, UniRef:UniRef50_UPI0035A723F8
contig_2	784263	784568	-	DLEPHM_00724	11.1	7.8		RefSeq:WP_011163437.1, SO:0001217, UniParc:UPI0000224A67, UniRef:UniRef100_Q6MPG3, UniRef:UniRef50_Q6MPG3, UniRef:UniRef90_Q6MPG3
