# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_2	cds	88	756	-	DLEPHM_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0005A237B8
contig_2	cds	756	1643	-	DLEPHM_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF2
contig_2	cds	1640	2812	-	DLEPHM_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF3
contig_2	cds	2850	3998	-	DLEPHM_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF4
contig_2	cds	3991	4974	-	DLEPHM_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF5
contig_2	cds	5134	5919	-	DLEPHM_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF6
contig_2	cds	5912	6532	-	DLEPHM_00007	262.0	1.2e-85	1.0	0.824	0.709	UniRef:UniRef90_UPI0025433814
contig_2	cds	6722	8392	-	DLEPHM_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF7
contig_2	cds	8496	9755	+	DLEPHM_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF8
contig_2	cds	9718	11391	-	DLEPHM_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF9
contig_2	cds	11401	12228	-	DLEPHM_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG0
contig_2	cds	12383	14212	+	DLEPHM_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG1
contig_2	cds	14227	15690	-	DLEPHM_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG2
contig_2	cds	15812	16852	-	DLEPHM_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG3
contig_2	cds	16862	18274	-	DLEPHM_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG4
contig_2	cds	18380	22372	-	DLEPHM_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG5
contig_2	cds	22375	23400	-	DLEPHM_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG6
contig_2	cds	23404	23718	-	DLEPHM_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG7
contig_2	cds	23775	24515	-	DLEPHM_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG8
contig_2	cds	24655	25617	+	DLEPHM_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG9
contig_2	cds	25800	26567	-	DLEPHM_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH0
contig_2	cds	26571	27488	-	DLEPHM_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH1
contig_2	cds	27489	28364	-	DLEPHM_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH2
contig_2	cds	28437	29438	-	DLEPHM_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH3
contig_2	cds	29562	31091	+	DLEPHM_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH4
contig_2	cds	31085	31534	-	DLEPHM_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH5
contig_2	cds	31589	32305	-	DLEPHM_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH6
contig_2	cds	32360	32953	+	DLEPHM_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001E581250
contig_2	cds	32938	35337	-	DLEPHM_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH8
contig_2	cds	35414	35932	+	DLEPHM_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH9
contig_2	cds	36016	37182	+	DLEPHM_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI0
contig_2	cds	37258	38373	+	DLEPHM_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI1
contig_2	cds	38402	38794	-	DLEPHM_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI2
contig_2	cds	38804	38992	-	DLEPHM_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI3
contig_2	cds	39291	39755	+	DLEPHM_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI4
contig_2	cds	39863	40630	+	DLEPHM_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI5
contig_2	cds	40627	40749	+	DLEPHM_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI6
contig_2	cds	40931	43213	+	DLEPHM_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMI8
contig_2	tRNA	43221	43297	-	DLEPHM_00039	74.6	-	-	-	-	-
contig_2	cds	43423	43962	-	DLEPHM_00040	340.0	3.2e-118	1.0	0.994	1.0	UniRef:UniRef90_K7YUK7
contig_2	cds	43937	44299	-	DLEPHM_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K7ZFA2
contig_2	cds	44375	46816	-	DLEPHM_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ1
contig_2	cds	46813	47838	-	DLEPHM_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ2
contig_2	cds	47950	48816	+	DLEPHM_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0000224D0B
contig_2	cds	48816	49943	+	DLEPHM_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ4
contig_2	cds	49940	50353	+	DLEPHM_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ5
contig_2	cds	50362	51117	+	DLEPHM_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ6
contig_2	cds	51155	51892	-	DLEPHM_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ7
contig_2	cds	51919	52806	-	DLEPHM_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ8
contig_2	cds	52796	53776	-	DLEPHM_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMJ9
contig_2	cds	53773	54672	-	DLEPHM_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK0
contig_2	cds	54682	55998	-	DLEPHM_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK1
contig_2	cds	55995	57038	-	DLEPHM_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK2
contig_2	cds	57088	57435	-	DLEPHM_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK3
contig_2	cds	57503	57694	-	DLEPHM_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK4
contig_2	cds	58025	66511	+	DLEPHM_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK5
contig_2	cds	66543	67565	+	DLEPHM_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK6
contig_2	cds	67640	69151	+	DLEPHM_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK7
contig_2	cds	69153	69590	-	DLEPHM_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK8
contig_2	cds	69744	70340	-	DLEPHM_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMK9
contig_2	cds	70491	72461	-	DLEPHM_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML0
contig_2	cds	72586	73278	-	DLEPHM_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML1
contig_2	cds	73460	73789	+	DLEPHM_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML2
contig_2	cds	73871	74437	-	DLEPHM_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML3
contig_2	cds	74569	74865	-	DLEPHM_00065	-	-	-	-	-	-
contig_2	cds	74898	76100	-	DLEPHM_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1Z3N9B4
contig_2	cds	76108	76689	-	DLEPHM_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML6
contig_2	cds	76694	77218	-	DLEPHM_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML7
contig_2	cds	77218	78579	-	DLEPHM_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML8
contig_2	cds	78576	81713	-	DLEPHM_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MML9
contig_2	cds	81726	82265	-	DLEPHM_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMM0
contig_2	cds	82440	84080	-	DLEPHM_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1Z3N992
contig_2	cds	84077	85492	-	DLEPHM_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMM2
contig_2	cds	85585	86400	-	DLEPHM_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMM4
contig_2	cds	86466	87041	+	DLEPHM_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMM3
contig_2	cds	87053	88183	+	DLEPHM_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMM5
